asset_id,type,material,install_year,length_m,lat,long,soil_type,slope_grade,region,tree_density,traffic,snapshot_date,rainfall_mm,avg_temp_c,soil_moisture_pc,num_prev_failures,last_repair_date,failure_next_30d,failure_type_predicted,risk_score,recommended_action,recommended_priority,emergency_response,issue_description
SD-001,road,ductile_iron,1939,788.4126564776512,38.27959754525911,-122.10319440786726,sand,15.632783938126043,Santa Clara,low,medium,2024-12-01,37.3,18.0,14.1,13,2024-12-21,True,leak,92,schedule_repair,3,False,minor leak observed
SD-001,gas_line,steel,1950,788.4126564776512,38.27959754525911,-122.10319440786726,fill,12.539502109269941,Napa,low,none,2025-01-01,33.3,11.4,16.3,12,2025-01-17,True,rupture,64,inspect_soon,1,True,critical damage
SD-001,water_pipe,ductile_iron,2000,788.4126564776512,38.27959754525911,-122.10319440786726,silt,9.623302940342624,San Mateo,low,low,2025-02-01,82.3,17.2,12.2,0,2025-02-11,True,leak,88,schedule_repair,1,False,minor leak observed
SD-001,water_pipe,PVC,2012,788.4126564776512,38.27959754525911,-122.10319440786726,fill,13.503398006482826,San Francisco,high,medium,2025-03-01,135.8,21.8,31.7,15,2025-03-21,True,leak,64,inspect_soon,1,True,minor leak observed
SD-001,storm_drain,copper,1994,788.4126564776512,38.27959754525911,-122.10319440786726,sand,9.533333164498057,Alameda,high,unknown,2025-04-01,136.8,13.5,28.2,7,2025-04-20,True,crack,98,inspect_soon,2,False,structural crack forming
SD-001,water_pipe,clay,1967,788.4126564776512,38.27959754525911,-122.10319440786726,sand,9.02985870362268,Napa,low,none,2025-05-01,8.2,20.2,30.9,16,2025-05-17,True,leak,76,inspect_soon,3,True,water seepage
SD-001,road,steel,1928,788.4126564776512,38.27959754525911,-122.10319440786726,loam,11.623214506400616,Alameda,high,none,2025-06-01,12.0,22.0,18.7,5,2025-06-16,True,rupture,88,inspect_soon,1,True,structural weakness
SD-001,storm_drain,steel,1925,788.4126564776512,38.27959754525911,-122.10319440786726,gravel,6.937874760868754,Contra Costa,medium,unknown,2025-07-01,36.7,17.1,35.8,1,2025-07-10,True,rupture,70,schedule_repair,2,False,critical damage
SD-001,electrical_conduit,corrugated_metal,1958,788.4126564776512,38.27959754525911,-122.10319440786726,silt,4.546563123201612,Santa Clara,high,extreme,2025-08-01,38.2,13.7,10.2,12,2025-08-07,True,erosion,81,schedule_repair,3,False,erosion damage
SD-001,gas_line,polyethylene,1967,788.4126564776512,38.27959754525911,-122.10319440786726,loam,13.932921162290445,Contra Costa,low,low,2025-09-01,14.2,18.1,27.8,7,2025-09-08,True,blockage,90,schedule_repair,3,False,flow obstruction
SD-001,bridge,asphalt,1982,788.4126564776512,38.27959754525911,-122.10319440786726,bedrock,21.065979438960788,Alameda,high,medium,2025-10-01,58.2,20.1,16.0,8,2025-10-25,True,erosion,98,inspect_soon,3,False,erosion undermining structure
SD-001,storm_drain,aluminum,1920,788.4126564776512,38.27959754525911,-122.10319440786726,clay,3.8680111080806783,Solano,medium,low,2025-11-01,88.1,12.1,26.1,12,2025-10-25,True,corrosion,60,schedule_repair,3,True,corrosion detected
