asset_id,type,material,install_year,length_m,lat,long,soil_type,slope_grade,region,tree_density,traffic,snapshot_date,rainfall_mm,avg_temp_c,soil_moisture_pc,num_prev_failures,last_repair_date,failure_next_30d,failure_type_predicted,risk_score,recommended_action,recommended_priority,emergency_response,issue_description
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2024-12-01,139.8,11.0,44.2,3,2024-12-21,True,corrosion,85,schedule_repair,2,True,corrosion crack forming
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-01-01,108.5,13.8,35.5,4,2025-01-17,True,crack,93,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-02-01,121.5,10.3,37.4,5,2025-02-11,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-03-01,143.6,13.8,44.2,6,2025-03-21,True,blockage,100,schedule_repair,1,True,jammed drain overflow risk
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-04-01,38.1,14.9,26.6,7,2025-04-20,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-05-01,69.1,16.8,27.2,8,2025-05-17,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-06-01,3.6,21.6,7.3,9,2025-06-16,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-07-01,1.8,19.1,13.1,10,2025-07-10,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-08-01,8.9,16.0,14.0,11,2025-08-07,True,blockage,100,schedule_repair,1,True,jammed drain overflow risk
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-09-01,7.6,18.2,8.9,12,2025-09-08,True,crack,100,schedule_repair,1,True,crack in drain
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-10-01,31.0,16.5,24.9,13,2025-10-25,True,corrosion,100,schedule_repair,1,True,corrosion crack forming
SD-001,storm_drain,concrete,1954,788.4126564776512,38.27959754525911,-122.10319440786726,silt,11.48122229914668,Solano,low,medium,2025-11-01,53.9,17.6,23.8,13,2025-10-25,True,blockage,100,schedule_repair,1,True,jammed drain overflow risk
