asset_id,type,material,install_year,length_m,lat,lon,traffic_load,soil_type,slope_grade,region,tree_density,snapshot_date,rainfall_mm,avg_temp_c,soil_moisture,traffic_index,age_years,num_prev_failures,avg_time_between_repairs_days,maintenance_due_in_days,monthly_failure_prob,failure_next_30d,failure_type_predicted,risk_score,recommended_action,recommended_priority,estimated_cost_usd,downtime_hours,emergency_response
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2024-12-06,279.23,0.0,0.529,2.51,50,1,18250.0,177,0.6279,1,blockage,high,schedule_repair,4,6384.27,16.08,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-01-05,322.48,2.01,0.569,3.16,51,2,30.0,196,0.6352,1,erosion,high,schedule_repair,5,9072.42,33.36,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-02-04,329.78,7.5,0.316,3.25,51,2,30.0,152,0.6305,0,none,high,schedule_repair,4,7200.16,0.0,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-03-06,269.11,15.0,0.612,3.52,51,3,45.0,214,0.6169,1,blockage,high,schedule_repair,3,8925.44,27.25,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-04-05,316.28,22.5,0.691,2.63,51,3,45.0,162,0.6291,0,none,high,schedule_repair,4,7742.09,0.0,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-05-05,230.86,27.99,0.533,3.07,51,3,45.0,150,0.6261,0,none,high,schedule_repair,4,7762.17,0.0,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-06-04,211.65,30.0,0.264,3.08,51,4,60.0,183,0.6262,1,collapse,high,schedule_repair,5,6802.68,42.57,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-07-04,148.29,27.99,0.343,3.27,51,5,52.5,165,0.6178,1,blockage,high,schedule_repair,3,7888.42,4.16,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-08-03,211.15,22.5,0.167,3.41,51,6,48.0,198,0.6186,1,collapse,high,schedule_repair,3,9209.84,40.03,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-09-02,98.36,15.0,0.091,3.08,51,6,48.0,128,0.5998,0,none,medium,inspect_soon,3,9069.89,0.0,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-10-02,157.78,7.5,0.224,3.52,51,6,48.0,111,0.6133,0,none,high,schedule_repair,4,6404.49,0.0,0
A_001,storm_drain,concrete,1974,368.68,37.462178,-121.744357,3,loam,0.0327,Milpitas,high,2025-11-01,232.06,2.01,0.417,3.52,51,6,48.0,119,0.6262,0,none,high,schedule_repair,4,6741.29,0.0,0
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2024-12-06,277.5,0.0,0.286,0.91,63,1,22995.0,200,0.7378,1,corrosion,high,schedule_repair,3,9222.34,37.96,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-01-05,282.0,2.01,0.551,0.82,64,2,30.0,184,0.7362,1,corrosion,high,schedule_repair,5,10759.57,11.61,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-02-04,266.37,7.5,0.205,1.11,64,3,30.0,198,0.7291,1,corrosion,high,schedule_repair,3,11603.65,23.72,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-03-06,279.18,15.0,0.678,0.89,64,4,30.0,207,0.7229,1,leak,high,schedule_repair,5,9261.07,35.91,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-04-05,319.43,22.5,0.583,0.83,64,5,30.0,219,0.7344,1,corrosion,high,schedule_repair,4,11007.17,14.31,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-05-05,398.23,27.99,0.931,0.81,64,6,30.0,159,0.7478,1,leak,high,schedule_repair,4,10611.59,24.67,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-06-04,288.95,30.0,0.537,0.8,64,7,30.0,211,0.7389,1,burst,high,schedule_repair,4,12105.08,22.93,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-07-04,79.51,27.99,0.095,0.89,64,8,30.0,188,0.7159,1,burst,high,schedule_repair,4,12037.74,39.13,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-08-03,145.7,22.5,0.102,0.92,64,8,30.0,189,0.7171,0,none,high,schedule_repair,5,10207.9,0.0,0
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-09-02,121.32,15.0,0.171,0.8,64,9,33.8,166,0.7071,1,corrosion,high,schedule_repair,5,11589.04,27.16,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-10-02,181.96,7.5,0.227,0.88,64,10,33.3,160,0.7207,1,burst,high,schedule_repair,3,9779.72,24.27,1
A_002,water_line,cast_iron,1961,363.78,37.712396,-122.061207,1,clay,0.022,South Berkeley,low,2025-11-01,257.66,2.01,0.557,0.99,64,11,33.0,199,0.7338,1,corrosion,high,schedule_repair,3,11069.47,31.94,1
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2024-12-06,292.0,0.0,0.648,2.65,16,0,999.0,228,0.4242,0,none,medium,inspect_soon,3,21062.0,0.0,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-01-05,399.08,2.01,0.942,2.78,17,1,6205.0,215,0.4379,1,electrical,medium,inspect_soon,3,17466.32,33.01,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-02-04,296.06,7.5,0.741,2.75,17,1,6205.0,179,0.4221,0,none,medium,inspect_soon,2,19675.16,0.0,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-03-06,287.12,15.0,0.227,2.58,17,2,60.0,194,0.4137,1,electrical,medium,inspect_soon,3,17491.99,15.89,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-04-05,301.66,22.5,0.774,3.55,17,2,60.0,145,0.4227,0,none,medium,inspect_soon,3,17876.84,0.0,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-05-05,362.61,27.99,0.638,2.92,17,3,60.0,169,0.4343,1,electrical,medium,inspect_soon,3,21161.01,33.02,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-06-04,131.22,30.0,0.26,2.53,17,3,60.0,193,0.4131,0,none,medium,inspect_soon,3,17422.79,0.0,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-07-04,229.91,27.99,0.591,3.03,17,4,60.0,179,0.421,1,structural,medium,inspect_soon,2,15056.68,30.63,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-08-03,184.69,22.5,0.403,2.59,17,4,60.0,156,0.411,0,none,medium,inspect_soon,3,16254.8,0.0,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-09-02,150.96,15.0,0.294,3.2,17,5,60.0,207,0.4001,1,electrical,medium,inspect_soon,3,18742.81,40.43,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-10-02,135.94,7.5,0.241,3.37,17,6,54.0,219,0.4061,1,mechanical,medium,inspect_soon,2,19697.69,6.39,0
A_003,pump_station,steel,2008,12.87,37.309213,-122.459605,3,loam,0.0274,"Castro, SF",low,2025-11-01,263.48,2.01,0.402,2.44,17,6,54.0,142,0.4243,0,none,medium,inspect_soon,2,15407.9,0.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2024-12-06,212.1,0.0,0.531,1.2,14,1,5110.0,169,0.3712,1,blockage,medium,inspect_soon,3,5949.05,3.5,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-01-05,221.68,2.01,0.173,0.98,15,2,30.0,168,0.3752,1,erosion,medium,inspect_soon,2,7308.1,18.49,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-02-04,276.04,7.5,0.29,1.17,15,3,30.0,218,0.3751,1,blockage,medium,inspect_soon,2,6352.06,45.99,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-03-06,386.54,15.0,0.372,1.07,15,4,30.0,158,0.3787,1,collapse,medium,inspect_soon,3,7364.57,25.77,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-04-05,296.35,22.5,0.407,1.16,15,4,30.0,163,0.3771,0,none,medium,inspect_soon,2,6901.62,0.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-05-05,347.89,27.99,0.775,0.99,15,4,30.0,145,0.3878,0,none,medium,inspect_soon,2,7424.46,0.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-06-04,222.46,30.0,0.529,0.88,15,5,45.0,211,0.3772,1,erosion,medium,inspect_soon,2,7017.64,6.37,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-07-04,148.69,27.99,0.345,0.82,15,5,45.0,152,0.3679,0,none,medium,inspect_soon,3,6684.76,0.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-08-03,166.56,22.5,0.265,0.82,15,6,48.0,167,0.3642,1,blockage,medium,inspect_soon,2,7845.82,2.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-09-02,215.52,15.0,0.323,1.01,15,7,45.0,199,0.3616,1,blockage,medium,inspect_soon,3,5696.32,22.12,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-10-02,133.71,7.5,0.285,1.06,15,7,45.0,142,0.3609,0,none,medium,inspect_soon,2,7393.2,0.0,0
A_004,storm_drain,concrete,2010,343.35,37.240659,-121.820441,1,gravel,0.0399,Palo Alto Downtown,low,2025-11-01,151.71,2.01,0.373,1.13,15,8,47.1,166,0.3682,1,blockage,medium,inspect_soon,3,8246.72,39.11,0
A_005,water_line,cast_iron,1961,345.27,37.620781,-121.962735,1,loam,0.0637,"Castro, SF",medium,2024-12-06,322.99,0.0,0.642,0.83,63,1,22995.0,191,0.7123,1,leak,high,schedule_repair,5,10925.56,14.37,1
